City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,9.9,86,96,2.68,NZ,1692926220
1,manokwari,-0.8667,134.0833,28.1,73,100,2.6,ID,1692926221
2,bethel,41.3712,-73.414,20.86,88,100,0.0,US,1692926222
3,kapa'a,22.0752,-159.319,31.18,72,40,6.69,US,1692926223
4,balabac,7.9868,117.0645,29.24,68,28,1.08,PH,1692926225
5,port-aux-francais,-49.35,70.2167,6.24,93,100,18.26,TF,1692926225
6,ulety,51.3572,112.4849,14.93,77,66,0.8,RU,1692926226
7,vilyuchinsk,52.9306,158.4028,15.15,99,100,1.16,RU,1692926227
8,khanty-mansiysk,61.0042,69.0019,9.06,93,0,3.13,RU,1692926227
9,kingston,17.997,-76.7936,30.53,82,40,2.06,JM,1692926228
10,larkana,27.5551,68.2141,28.02,66,31,2.79,PK,1692926175
11,tiksi,71.6872,128.8694,10.86,54,100,6.9,RU,1692926229
12,grytviken,-54.2811,-36.5092,-3.03,80,11,4.17,GS,1692926230
13,wagar,16.1525,36.2032,33.05,43,27,4.53,SD,1692926231
14,kargasok,59.0556,80.8572,12.91,96,100,3.04,RU,1692926232
15,khandyga,62.6667,135.6,13.28,59,45,1.4,RU,1692926232
16,rio grande,-32.035,-52.0986,7.19,62,6,2.06,BR,1692926233
17,iqaluit,63.7506,-68.5145,3.85,93,100,3.09,CA,1692926234
18,puerto natales,-51.7236,-72.4875,0.01,77,100,3.49,CL,1692926235
19,adamstown,-25.066,-130.1015,19.01,58,100,8.26,PN,1692926235
20,moranbah,-22.0016,148.0466,23.83,45,0,7.71,AU,1692926236
21,margaret river,-33.95,115.0667,13.98,76,0,2.21,AU,1692926237
22,rameswaram,9.2833,79.3,27.59,78,100,10.29,IN,1692926237
23,avarua,-21.2078,-159.775,27.03,69,75,7.2,CK,1692926238
24,anaconda,46.1285,-112.9423,25.55,32,30,3.29,US,1692926239
25,banfora,10.6333,-4.7667,24.79,80,71,1.5,BF,1692926239
26,porto novo,6.4965,2.6036,24.67,92,100,1.35,BJ,1692926240
27,konosha,60.9736,40.257,8.62,74,100,1.61,RU,1692926240
28,albany,42.6001,-73.9662,18.08,94,100,2.24,US,1692926227
29,emerald,-23.5333,148.1667,23.62,47,8,4.21,AU,1692926242
30,west island,-12.1568,96.8225,25.99,73,40,5.14,CC,1692926243
